Symbol,AtomicMass,AtomicRadius,Electronegativity,IonizationEnergy,ElectronAffinity,Polarizability,results_per_total,results_per_zn,ZnSites,CounterIonSites,results_per_counter_ion,,Result
F,18.99840316,135,3.98,17.423,3.339,3.74,0.001351244,0.001351244,2,4,0.001351244,,1.351243905
Zn,65.4,139,1.65,9.394,0,38.67,0.013503440812194218,0.013503440812194218,4,4,0.013503440812194218,,13.50344081
Zn,65.4,139,1.65,9.394,0,38.67,0.015750968554067095,0.015750968554067095,12,12,0.015750968554067095,,15.75096855
Zn,65.4,139,1.65,9.394,0,38.67,0.018352353041840578,0.018352353041840578,7,7,0.018352353041840578,,18.35235304
Pd,106.42,202,2.2,8.337,0.557,26.14,0.00826079,0.00826079,4,8,0.00826079,,8.260789956
Fe,55.84,194,1.83,7.902,0.163,62,0.011395426567213715,0.011395426567213715,13,1,0.011395426567213715,,11.39542657
Br,79.9,183,2.96,11.814,3.365,21,0.001001479,0.001001479,16,32,0.001001479,,1.00147916
Zn,65.4,139,1.65,9.394,0,38.67,0.007009956,0.007009956,5,5,0.007009956,,7.009955515
Zn,65.4,139,1.65,9.394,0,38.67,0.013741602443875532,0.013741602443875532,12,12,0.013741602443875532,,13.74160244
Co,58.93319,192,1.88,7.881,0.661,55,0.007881354,0.007881354,13,1,0.007881354,,7.881353754
Zn,65.4,139,1.65,9.394,0,38.67,0.013378939,0.013378939,5,5,0.013378939,,13.37893865
Zn,65.4,139,1.65,9.394,0,38.67,0.012840450959663728,0.012840450959663728,22,22,0.012840450959663728,,12.84045096
Zn,65.4,139,1.65,9.394,0,38.67,0.012343068220232385,0.012343068220232385,12,12,0.012343068220232385,,12.34306822
Zn,65.4,139,1.65,9.394,0,38.67,0.008026319,0.008026319,11,11,0.008026319,,8.026319355
Zn,65.4,139,1.65,9.394,0,38.67,0.011785174,0.011785174,35,35,0.011785174,,11.78517366
Zn,65.4,139,1.65,9.394,0,38.67,0.008338781,0.008338781,4,4,0.008338781,,8.33878066
P,30.973762,180,2.19,10.487,0.746,25,0.001948915,0.001948915,8,16,0.001948915,,1.948914785
Pt,195.08,209,2.28,9,2.128,48,0.012766045737062399,0.012766045737062399,1,3,0.012766045737062399,,12.76604574
As,74.92159,185,2.18,9.815,0.81,30,0.002419456,0.002419456,8,16,0.002419456,,2.419455553
Zn,65.4,139,1.65,9.394,0,38.67,0.01251045,0.01251045,2,2,0.01251045,,12.5104498
Zn,65.4,139,1.65,9.394,0,38.67,0.012379362340470351,0.012379362340470351,4,4,0.012379362340470351,,12.37936234
Zn,65.4,139,1.65,9.394,0,38.67,0.012108427,0.012108427,26,26,0.012108427,,12.10842657
Zn,65.4,139,1.65,9.394,0,38.67,0.013366021038405063,0.013366021038405063,22,22,0.013366021038405063,,13.36602104
Zn,65.4,139,1.65,9.394,0,38.67,0.013723397000008814,0.013723397000008814,17,17,0.013723397000008814,,13.723397
Zn,65.4,139,1.65,9.394,0,38.67,0.012147542101602153,0.012147542101602153,12,12,0.012147542101602153,,12.1475421
Zn,65.4,139,1.65,9.394,0,38.67,0.014417229357233089,0.014417229357233089,2,2,0.014417229357233089,,14.41722936
Zn,65.4,139,1.65,9.394,0,38.67,0.012687327793330533,0.012687327793330533,1,1,0.012687327793330533,,12.68732779
Zn,65.4,139,1.65,9.394,0,38.67,0.013102809502743269,0.013102809502743269,12,12,0.013102809502743269,,13.1028095
O,15.999,152,3.44,13.618,1.461,5.3,0.002749505,0.002749505,2,2,0.002749505,,2.749504732
Zn,65.4,139,1.65,9.394,0,38.67,0.0129611,0.0129611,44,44,0.0129611,,12.96110031
Ru,101.1,207,2.2,7.361,1.05,72,0.007834071,0.007834071,6,2,0.007834071,,7.834071376
Zn,65.4,139,1.65,9.394,0,38.67,0.013786346,0.013786346,4,4,0.013786346,,13.78634556
Zn,65.4,139,1.65,9.394,0,38.67,0.014867093,0.014867093,4,4,0.014867093,,14.86709252
Zn,65.4,139,1.65,9.394,0,38.67,0.013146452,0.013146452,12,12,0.013146452,,13.14645246
Zn,65.4,139,1.65,9.394,0,38.67,0.009514913,0.009514913,4,4,0.009514913,,9.514912932
Zn,65.4,139,1.65,9.394,0,38.67,0.012450134527259975,0.012450134527259975,17,17,0.012450134527259975,,12.45013453
