Symbol,AtomicMass,AtomicRadius,Electronegativity,IonizationEnergy,ElectronAffinity,Polarizability,results_per_total,results_per_zn,ZnSites,CounterIonSites,results_per_counter_ion,SpaceGroup,SpaceGroupNumber,Total Sites,Reduced Formula
Na,22.9897693,227.0,0.93,5.139,0.548,162.7,0.011269852904624126,0.01213676466651829,26.0,26.0,0.01213676466651829,Fm-3c,226,28,NaZn13
Nb,92.90637,207.0,1.6,6.759,0.893,98.0,0.018352353041840578,0.03408294136341821,7.0,7.0,0.03408294136341821,R-3m,166,13,Nb6Zn7
Nb,92.90637,207.0,1.6,6.759,0.893,98.0,0.013068586790231764,0.013885373464621249,32.0,32.0,0.013885373464621249,Cmcm,63,34,NbZn16
Nb,92.90637,207.0,1.6,6.759,0.893,98.0,0.006994757482776832,0.010492136224165248,16.0,16.0,0.010492136224165248,P6_3/mmc,194,24,NbZn2
Nb,92.90637,207.0,1.6,6.759,0.893,98.0,0.006720681519540875,0.008960908692721167,3.0,3.0,0.008960908692721167,Pm-3m,221,4,NbZn3
Nd,144.24,229.0,1.14,5.525,,208.0,0.01398329372418908,0.01562838710350544,17.0,17.0,0.01562838710350544,R-3m,166,19,Nd2Zn17
Nd,144.24,229.0,1.14,5.525,,208.0,0.014907070364974533,0.018972635009967587,11.0,11.0,0.018972635009967587,Immm,71,14,Nd3Zn11
Nd,144.24,229.0,1.14,5.525,,208.0,0.00915012701869481,0.010397871612153194,44.0,44.0,0.010397871612153194,C2/c,15,50,Nd3Zn22
Nd,144.24,229.0,1.14,5.525,,208.0,0.013254473312984147,0.01445942543234634,22.0,22.0,0.01445942543234634,C2/m,12,24,NdZn11
Nd,144.24,229.0,1.14,5.525,,208.0,0.013565432734760125,0.020348149102140188,4.0,4.0,0.020348149102140188,Imma,74,6,NdZn2
Nd,144.24,229.0,1.14,5.525,,208.0,0.01436667226286747,0.019155563017156627,12.0,12.0,0.019155563017156627,Pnma,62,16,NdZn3
Nd,144.24,229.0,1.14,5.525,,208.0,0.019448648325720026,0.03889729665144005,1.0,1.0,0.03889729665144005,Pm-3m,221,2,NdZn
Pr,140.90766,239.0,1.13,5.464,,216.0,0.014383231614877324,0.01760705939062569,116.0,116.0,0.01760705939062569,P6_3/mmc,194,142,Pr13Zn58
Pr,140.90766,239.0,1.13,5.464,,216.0,0.01407166917471192,0.0157271596658545,17.0,17.0,0.0157271596658545,R-3m,166,19,Pr2Zn17
Pr,140.90766,239.0,1.13,5.464,,216.0,0.00920785387612189,0.010463470313774875,44.0,44.0,0.010463470313774875,I4_1/amd,141,50,Pr3Zn22
Pr,140.90766,239.0,1.13,5.464,,216.0,0.013366021038405063,0.01458111386007825,22.0,22.0,0.01458111386007825,I4_1/amd,141,24,PrZn11
Pr,140.90766,239.0,1.13,5.464,,216.0,0.012872826748506589,0.019309240122759884,4.0,4.0,0.019309240122759884,Imma,74,6,PrZn2
Pr,140.90766,239.0,1.13,5.464,,216.0,0.016792856673760903,0.033585713347521806,1.0,1.0,0.033585713347521806,Pm-3m,221,2,PrZn
Pu,244.0642,243.0,1.28,6.06,,145.0,0.012450134527259975,0.013914856236349384,17.0,17.0,0.013914856236349384,C2/m,12,19,Pu2Zn17
Pu,244.0642,243.0,1.28,6.06,,145.0,0.01296110030940453,0.014728523078868783,44.0,44.0,0.014728523078868783,I4_1/amd,141,50,Pu3Zn22
