-----------------------------------
 s i m p l e   D F T - D 3  v1.2.1
-----------------------------------

Zero (Chai-Head-Gordon) damping: pbe-D3(0)
--------------------
  s6         1.0000
  s8         0.7220
  s9         0.0000
 rs6         1.2170
 rs8         1.0000
 alp        14.0000
--------------------

Atomic radii (in Angstrom):
-------------------------------------------
   Z          R(cov)     R(vdw)      r4/r2
-------------------------------------------
  56 Ba       2.3467     2.5907     5.3747
  12 Mg       1.6667     1.7420     2.8909
-------------------------------------------

Atomic reference systems (in atomic units):
----------------------------------------------------------------------------
   Z        #      CN    C6(AA)   #      CN    C6(AA)   #      CN    C6(AA)
----------------------------------------------------------------------------
  56 Ba     1  0.0000 5726.9887   2  0.9797 4171.7842   3  1.8467  716.5475
  12 Mg     1  0.0000  683.3758   2  0.9628  451.2708   3  1.9496  175.5616
----------------------------------------------------------------------------

Dispersion properties (in atomic units):
--------------------------------------------------------
     #    Z                CN       C6(AA)       C8(AA)
--------------------------------------------------------
    48   12 Mg  -0.92457396E-03     -0.58017892
    49   12 Mg  -0.92457561E-03     -0.58017995
    50   12 Mg  -0.92457406E-03     -0.58017898
    51   12 Mg  -0.85726336E-03     -0.53794088
    52   12 Mg  -0.85726544E-03     -0.53794219
    53   12 Mg  -0.85726236E-03     -0.53794025
    54   12 Mg  -0.85598436E-03     -0.53713829
    55   12 Mg  -0.85598530E-03     -0.53713889
    56   12 Mg  -0.85598331E-03     -0.53713764
    57   12 Mg  -0.86668931E-03     -0.54385575
    58   12 Mg  -0.86669237E-03     -0.54385767
    59   12 Mg  -0.86669443E-03     -0.54385896
    60   12 Mg  -0.86812031E-03     -0.54475372
    61   12 Mg  -0.86811844E-03     -0.54475254
    62   12 Mg  -0.86811720E-03     -0.54475177
    63   12 Mg  -0.86811716E-03     -0.54475174
    64   12 Mg  -0.86811717E-03     -0.54475175
    65   12 Mg  -0.86811829E-03     -0.54475245
    66   12 Mg  -0.86888288E-03     -0.54523224
    67   12 Mg  -0.86888824E-03     -0.54523560
    68   12 Mg  -0.86888609E-03     -0.54523426
    69   12 Mg  -0.86390215E-03     -0.54210678
    70   12 Mg  -0.87226533E-03     -0.54735476
    71   12 Mg  -0.87226561E-03     -0.54735493
    72   12 Mg  -0.87226647E-03     -0.54735547
    73   12 Mg  -0.87226433E-03     -0.54735413
    74   12 Mg  -0.87226450E-03     -0.54735424
    75   12 Mg  -0.87226326E-03     -0.54735346
