Symbol,AtomicMass,AtomicRadius,Electronegativity,IonizationEnergy,ElectronAffinity,Polarizability,results_per_total,results_per_li,LiSites,CounterIonSites,results_per_counter_ion,Result
Zn,65.4,139,1.65,9.394,0,38.67,0.011847708,0.011847708,2,6,0.011847708,11.84770844
Mg,24.305,173,1.31,7.646,0,71.2,0.017182997,0.017182997,3,3,0.017182997,17.18299713
Al,26.981538,184,1.61,5.986,0.441,57.8,0.013504645,0.013504645,12,12,0.013504645,13.50464539
Hg,200.59,209,2,10.438,0,33,0.012993035,0.012993035,3,1,0.012993035,12.99303544
Fe,55.84,194,1.83,7.902,0.163,62,0.002524873,0.002524873,6,2,0.002524873,2.524872869
Mg,24.305,173,1.31,7.646,0,71.2,0.016420485,0.016420485,2,2,0.016420485,16.42048509
Mg,24.305,173,1.31,7.646,0,71.2,0.017195115,0.017195115,4,2,0.017195115,17.19511485
Mg,24.305,173,1.31,7.646,0,71.2,0.003463776,0.003463776,1,1,0.003463776,3.463775554
Pt,195.08,209,2.28,9,2.128,48,0.011026604,0.011026604,2,1,0.011026604,11.02660418
S,32.07,180,2.58,10.36,2.077,19.4,0.005581935,0.005581935,4,4,0.005581935,5.581935255
Tl,204.383,196,1.62,6.108,0.2,66,0.016036368,0.016036368,4,2,0.016036368,16.0363684
Cd,112.41,158,1.69,8.994,0,46,0.015099388,0.015099388,3,1,0.015099388,15.09938826
Mg,24.305,173,1.31,7.646,0,71.2,0.016529863,0.016529863,2,4,0.016529863,16.52986301
Ca,40.08,231,1,6.113,0,160.8,0.0173592,0.0173592,1,3,0.0173592,17.3591996
In,114.818,193,1.78,5.786,0.3,65,0.014698181,0.014698181,3,2,0.014698181,14.69818115
Tm,168.93422,227,1.25,6.184,0,144,0.018221397,0.018221397,2,6,0.018221397,18.22139731
In,114.818,193,1.78,5.786,0.3,65,0.008713297,0.008713297,4,8,0.008713297,8.713297292
Cu,63.55,140,1.9,7.726,1.228,46.5,0.013982064,0.013982064,1,3,0.013982064,13.98206383
O,15.999,152,3.44,13.618,1.461,5.3,0.001075606,0.001075606,1,2,0.001075606,1.075606131
Sn,118.71,217,1.96,7.344,1.2,53,0.00086875,0.00086875,3,1,0.00086875,0.868749854
Ag,107.868,172,1.93,7.576,1.302,55,0.014354438,0.014354438,18,8,0.014354438,14.35443787
Au,196.96657,166,2.54,9.226,2.309,36.06,0.012245565,0.012245565,3,1,0.012245565,12.24556525
Mg,24.305,173,1.31,7.646,0,71.2,0.014794002,0.014794002,2,2,0.014794002,14.79400244
Zn,65.4,139,1.65,9.394,0,38.67,0.012694541,0.012694541,1,3,0.012694541,12.69454063
Hg,200.59,209,2,10.438,0,33,0.005233084,0.005233084,1,3,0.005233084,5.233083868
Hf,178.49,212,1.3,6.825,0,103,0.000841655,0.000841655,16,6,0.000841655,0.841655235
Ag,107.868,172,1.93,7.576,1.302,55,0.009650852,0.009650852,2,6,0.009650852,9.650851656
Mg,24.305,173,1.31,7.646,0,71.2,0.012825282,0.012825282,1,2,0.012825282,12.82528203
Pr,140.90766,239,1.13,5.464,0,216,0.025556622,0.025556622,3,1,0.025556622,25.55662216
Se,78.97,190,2.55,9.752,2.021,28.9,0.009659878,0.009659878,2,1,0.009659878,9.659878002
Si,28.085,210,1.9,8.152,1.385,37.3,0.013140352,0.013140352,84,20,0.013140352,13.14035204
Mg,24.305,173,1.31,7.646,0,71.2,0.015473621,0.015473621,1,3,0.015473621,15.47362077
Pb,207,202,2.33,7.417,0.36,57,0.014003003,0.014003003,88,20,0.014003003,14.00300346
Li,7,182,0.98,5.392,0.618,164.1125,0.01529369,0.01529369,1,1,0.01529369,15.29368996
Hg,200.59,209,2,10.438,0,33,0.005153514,0.005153514,1,3,0.005153514,5.153514055
O,15.999,152,3.44,13.618,1.461,5.3,0.000842158,0.000842158,1,8,0.000842158,0.842158461
C,12.011,170,2.55,11.26,1.263,11.3,0.010430361,0.010430361,2,1,0.010430361,10.43036091
Yb,173.05,242,0,6.254,0,139,0.023616785,0.023616785,3,1,0.023616785,23.61678498
Eu,151.964,233,0,5.67,0,184,0.031950383,0.031950383,2,6,0.031950383,31.95038327
W,183.84,210,2.36,7.98,0.815,68,0.001299116,0.001299116,3,1,0.001299116,1.299116466
Ho,164.93033,216,1.23,6.022,0,156,0.01811651,0.01811651,1,3,0.01811651,18.11651035
Rh,102.9055,195,2.28,7.459,1.137,66,0.018019926,0.018019926,1,3,0.018019926,18.01992555
Co,58.93319,192,1.88,7.881,0.661,55,0.002180397,0.002180397,3,1,0.002180397,2.180396696
Li,7,182,0.98,5.392,0.618,164.1125,0.011820221,0.011820221,3,3,0.011820221,11.82022123
Mg,24.305,173,1.31,7.646,0,71.2,0.014865772,0.014865772,1,3,0.014865772,14.86577194
Ir,192.22,202,2.2,9.1,1.565,54,0.00473984,0.00473984,1,3,0.00473984,4.739840311
Tb,158.92535,221,0,5.864,0,170,0.021212683,0.021212683,2,6,0.021212683,21.2126833
Si,28.085,210,1.9,8.152,1.385,37.3,0.001875387,0.001875387,1,3,0.001875387,1.875387005
Mg,24.305,173,1.31,7.646,0,71.2,0.011133629,0.011133629,1,15,0.011133629,11.13362891
Ga,69.723,187,1.81,5.999,0.3,50,0.004337517,0.004337517,2,2,0.004337517,4.337517207
Pb,207,202,2.33,7.417,0.36,57,0.013489983,0.013489983,85,20,0.013489983,13.48998313
Mg,24.305,173,1.31,7.646,0,71.2,0.013372238,0.013372238,1,5,0.013372238,13.37223842
Tb,158.92535,221,0,5.864,0,170,0.032666326,0.032666326,1,3,0.032666326,32.66632559
Gd,157.25,237,1.2,6.15,0,158,0.015461212,0.015461212,2,6,0.015461212,15.46121239
Br,79.9,183,2.96,11.814,3.365,21,0.004485603,0.004485603,2,2,0.004485603,4.485602708
Li,7,182,0.98,5.392,0.618,164.1125,0.012355851,0.012355851,3,3,0.012355851,12.35585063
Co,58.93319,192,1.88,7.881,0.661,55,0.001806252,0.001806252,6,2,0.001806252,1.80625247
Ac,227.02775,260,1.1,5.17,0,282,0.013634765,0.013634765,1,3,0.013634765,13.6347647
Bi,208.9804,207,2.02,7.289,0.946,53,0.01311426,0.01311426,3,1,0.01311426,13.11425975
Mg,24.305,173,1.31,7.646,0,71.2,0.003508081,0.003508081,1,1,0.003508081,3.508081099
Mg,24.305,173,1.31,7.646,0,71.2,0.017905915,0.017905915,3,1,0.017905915,17.90591498
Pd,106.42,202,2.2,8.337,0.557,26.14,0.003555158,0.003555158,2,1,0.003555158,3.555158152
O,15.999,152,3.44,13.618,1.461,5.3,0.000693911,0.000693911,4,4,0.000693911,0.693911083
Yb,173.05,242,0,6.254,0,139,0.026616385,0.026616385,2,6,0.026616385,26.61638457
Pb,207,202,2.33,7.417,0.36,57,0.011755253,0.011755253,3,1,0.011755253,11.75525323
As,74.92159,185,2.18,9.815,0.81,30,0.002586714,0.002586714,2,6,0.002586714,2.586714077
Ni,58.693,163,1.91,7.64,1.156,49,0.002177375,0.002177375,6,2,0.002177375,2.177374858
Eu,151.964,233,0,5.67,0,184,0.0266471,0.0266471,3,1,0.0266471,26.64709998
B,10.81,192,2.04,8.298,0.277,20.5,0.005074767,0.005074767,4,4,0.005074767,5.074766563
Mg,24.305,173,1.31,7.646,0,71.2,0.015399761,0.015399761,2,4,0.015399761,15.3997607
Mg,24.305,173,1.31,7.646,0,71.2,0.014185429,0.014185429,1,3,0.014185429,14.18542938
Np,237.048172,221,1.36,6.266,0,160,0.015509653,0.015509653,6,2,0.015509653,15.50965287
Au,196.96657,166,2.54,9.226,2.309,36.06,0.006320529,0.006320529,1,3,0.006320529,6.320528581
Sb,121.76,206,2.05,8.64,1.07,43,0.011616281,0.011616281,3,1,0.011616281,11.61628112
S,32.07,180,2.58,10.36,2.077,19.4,0.005702335,0.005702335,1,1,0.005702335,5.702335188
B,10.81,192,2.04,8.298,0.277,20.5,0.001370523,0.001370523,5,4,0.001370523,1.370523056
