Symbol,AtomicMass,AtomicRadius,Electronegativity,IonizationEnergy,ElectronAffinity,Polarizability,results_per_total,results_per_li,LiSites,CounterIonSites,results_per_counter_ion
Mg,24.305,173.0,1.31,7.646,0.0,71.2,0.0159725857084629,0.0159725857084629,4.0,2.0,0.0159725857084629
Si,28.085,210.0,1.9,8.152,1.385,37.3,0.0135182127079456,0.0135182127079456,88.0,20.0,0.0135182127079456
Zr,91.22,186.0,1.33,6.634,0.426,112.0,0.0232742304299791,0.0232742304299791,3.0,1.0,0.0232742304299791
Tl,204.383,196.0,1.62,6.108,0.2,66.0,0.0132500206195295,0.0132500206195295,12.0,12.0,0.0132500206195295
Zn,65.4,139.0,1.65,9.394,0.0,38.67,0.0118477084443353,0.0118477084443353,2.0,6.0,0.0118477084443353
Mg,24.305,173.0,1.31,7.646,0.0,71.2,0.0171829971314638,0.0171829971314638,3.0,3.0,0.0171829971314638
Al,26.981538,184.0,1.61,5.986,0.441,57.8,0.0135046453859355,0.0135046453859355,12.0,12.0,0.0135046453859355
Hg,200.59,209.0,2.0,10.438,0.0,33.0,0.0129930354417167,0.0129930354417167,3.0,1.0,0.0129930354417167
Fe,55.84,194.0,1.83,7.902,0.163,62.0,0.0025248728686606,0.0025248728686606,6.0,2.0,0.0025248728686606
Mg,24.305,173.0,1.31,7.646,0.0,71.2,0.0164204850938906,0.0164204850938906,2.0,2.0,0.0164204850938906
Mg,24.305,173.0,1.31,7.646,0.0,71.2,0.0171951148536954,0.0171951148536954,4.0,2.0,0.0171951148536954
Mg,24.305,173.0,1.31,7.646,0.0,71.2,0.0034637755539771,0.0034637755539771,1.0,1.0,0.0034637755539771
Pt,195.08,209.0,2.28,9.0,2.128,48.0,0.011026604177195,0.011026604177195,2.0,1.0,0.011026604177195
S,32.07,180.0,2.58,10.36,2.077,19.4,0.0055819352548704,0.0055819352548704,4.0,4.0,0.0055819352548704
Tl,204.383,196.0,1.62,6.108,0.2,66.0,0.0160363684036584,0.0160363684036584,4.0,2.0,0.0160363684036584
Cd,112.41,158.0,1.69,8.994,0.0,46.0,0.0150993882551964,0.0150993882551964,3.0,1.0,0.0150993882551964
Mg,24.305,173.0,1.31,7.646,0.0,71.2,0.0165298630065428,0.0165298630065428,2.0,4.0,0.0165298630065428
Ca,40.08,231.0,1.0,6.113,0.0,160.8,0.017359199604987,0.017359199604987,1.0,3.0,0.017359199604987
In,114.818,193.0,1.78,5.786,0.3,65.0,0.014698181153288,0.014698181153288,3.0,2.0,0.014698181153288
Tm,168.93422,227.0,1.25,6.184,0.0,144.0,0.018221397312764,0.018221397312764,2.0,6.0,0.018221397312764
In,114.818,193.0,1.78,5.786,0.3,65.0,0.0087132972918501,0.0087132972918501,4.0,8.0,0.0087132972918501
Cu,63.55,140.0,1.9,7.726,1.228,46.5,0.013982063827059,0.013982063827059,1.0,3.0,0.013982063827059
O,15.999,152.0,3.44,13.618,1.461,5.3,0.0010756061305837,0.0010756061305837,1.0,2.0,0.0010756061305837
Sn,118.71,217.0,1.96,7.344,1.2,53.0,0.0008687498540594,0.0008687498540594,3.0,1.0,0.0008687498540594
Ag,107.868,172.0,1.93,7.576,1.302,55.0,0.0143544378687426,0.0143544378687426,18.0,8.0,0.0143544378687426
Au,196.96657,166.0,2.54,9.226,2.309,36.06,0.0122455652519709,0.0122455652519709,3.0,1.0,0.0122455652519709
Mg,24.305,173.0,1.31,7.646,0.0,71.2,0.014794002437433,0.014794002437433,2.0,2.0,0.014794002437433
Zn,65.4,139.0,1.65,9.394,0.0,38.67,0.0126945406269661,0.0126945406269661,1.0,3.0,0.0126945406269661
Hg,200.59,209.0,2.0,10.438,0.0,33.0,0.0052330838678356,0.0052330838678356,1.0,3.0,0.0052330838678356
Hf,178.49,212.0,1.3,6.825,0.0,103.0,0.0008416552347941,0.0008416552347941,16.0,6.0,0.0008416552347941
Ag,107.868,172.0,1.93,7.576,1.302,55.0,0.0096508516556211,0.0096508516556211,2.0,6.0,0.0096508516556211
Mg,24.305,173.0,1.31,7.646,0.0,71.2,0.0128252820305939,0.0128252820305939,1.0,2.0,0.0128252820305939
Pr,140.90766,239.0,1.13,5.464,0.0,216.0,0.0255566221638342,0.0255566221638342,3.0,1.0,0.0255566221638342
Se,78.97,190.0,2.55,9.752,2.021,28.9,0.0096598780017829,0.0096598780017829,2.0,1.0,0.0096598780017829
Si,28.085,210.0,1.9,8.152,1.385,37.3,0.0131403520379469,0.0131403520379469,84.0,20.0,0.0131403520379469
Mg,24.305,173.0,1.31,7.646,0.0,71.2,0.015473620767766,0.015473620767766,1.0,3.0,0.015473620767766
Pb,207.0,202.0,2.33,7.417,0.36,57.0,0.0140030034604562,0.0140030034604562,88.0,20.0,0.0140030034604562
Li,7.0,182.0,0.98,5.392,0.618,164.1125,0.0152936899619734,0.0152936899619734,1.0,1.0,0.0152936899619734
Hg,200.59,209.0,2.0,10.438,0.0,33.0,0.0051535140549619,0.0051535140549619,1.0,3.0,0.0051535140549619
O,15.999,152.0,3.44,13.618,1.461,5.3,0.0008421584606797,0.0008421584606797,1.0,8.0,0.0008421584606797
C,12.011,170.0,2.55,11.26,1.263,11.3,0.0104303609064899,0.0104303609064899,2.0,1.0,0.0104303609064899
Yb,173.05,242.0,0.0,6.254,0.0,139.0,0.0236167849821471,0.0236167849821471,3.0,1.0,0.0236167849821471
Eu,151.964,233.0,0.0,5.67,0.0,184.0,0.031950383270037,0.031950383270037,2.0,6.0,0.031950383270037
W,183.84,210.0,2.36,7.98,0.815,68.0,0.0012991164661379,0.0012991164661379,3.0,1.0,0.0012991164661379
Ho,164.93033,216.0,1.23,6.022,0.0,156.0,0.0181165103533081,0.0181165103533081,1.0,3.0,0.0181165103533081
Rh,102.9055,195.0,2.28,7.459,1.137,66.0,0.0180199255459288,0.0180199255459288,1.0,3.0,0.0180199255459288
Co,58.93319,192.0,1.88,7.881,0.661,55.0,0.0021803966961082,0.0021803966961082,3.0,1.0,0.0021803966961082
Li,7.0,182.0,0.98,5.392,0.618,164.1125,0.0118202212330917,0.0118202212330917,3.0,3.0,0.0118202212330917
Mg,24.305,173.0,1.31,7.646,0.0,71.2,0.0148657719416915,0.0148657719416915,1.0,3.0,0.0148657719416915
Ir,192.22,202.0,2.2,9.1,1.565,54.0,0.0047398403109343,0.0047398403109343,1.0,3.0,0.0047398403109343
Tb,158.92535,221.0,0.0,5.864,0.0,170.0,0.021212683301634,0.021212683301634,2.0,6.0,0.021212683301634
Si,28.085,210.0,1.9,8.152,1.385,37.3,0.0018753870050727,0.0018753870050727,1.0,3.0,0.0018753870050727
Mg,24.305,173.0,1.31,7.646,0.0,71.2,0.0111336289131441,0.0111336289131441,1.0,15.0,0.0111336289131441
Ga,69.723,187.0,1.81,5.999,0.3,50.0,0.0043375172074216,0.0043375172074216,2.0,2.0,0.0043375172074216
Pb,207.0,202.0,2.33,7.417,0.36,57.0,0.0134899831275616,0.0134899831275616,85.0,20.0,0.0134899831275616
Mg,24.305,173.0,1.31,7.646,0.0,71.2,0.0133722384177932,0.0133722384177932,1.0,5.0,0.0133722384177932
Tb,158.92535,221.0,0.0,5.864,0.0,170.0,0.032666325590616,0.032666325590616,1.0,3.0,0.032666325590616
Gd,157.25,237.0,1.2,6.15,0.0,158.0,0.0154612123912703,0.0154612123912703,2.0,6.0,0.0154612123912703
Br,79.9,183.0,2.96,11.814,3.365,21.0,0.0044856027078692,0.0044856027078692,2.0,2.0,0.0044856027078692
