Symbol,AtomicMass,AtomicRadius,Electronegativity,IonizationEnergy,ElectronAffinity,Polarizability,results_per_total,results_per_li,LiSites,CounterIonSites,results_per_counter_ion,res_per_volm_per_site,Result
La,138.9055,240.0,1.1,5.577,0.5,215.0,0.0212672575988921,0.028356343465189466,3.0,1.0,0.0850690303955684,0.0008241409362038106,8.241409362038105
Lu,174.9667,221.0,1.27,5.426,,137.0,0.017314651570596813,0.023086202094129083,6.0,2.0,0.06925860628238725,0.0007764960559933123,7.764960559933123
Mg,24.305,173.0,1.31,7.646,,71.2,0.014881665460688896,0.039684441228503724,3.0,5.0,0.023810664737102232,0.0007051347387544247,7.051347387544246
Mg,24.305,173.0,1.31,7.646,,71.2,0.018217963866316127,0.0242906184884215,3.0,1.0,0.0728718554652645,0.0009144571324447159,9.14457132444716
Mg,24.305,173.0,1.31,7.646,,71.2,0.017328738757740623,0.023104985010320832,3.0,1.0,0.0693149550309625,0.0008514960526789025,8.514960526789025
Mg,24.305,173.0,1.31,7.646,,71.2,0.01792590129642992,0.023901201728573226,6.0,2.0,0.07170360518571968,0.0008906311707091351,8.906311707091351
Mg,24.305,173.0,1.31,7.646,,71.2,0.017316297928205514,0.02308839723760735,3.0,1.0,0.06926519171282206,0.000850961641210872,8.50961641210872
Mg,24.305,173.0,1.31,7.646,,71.2,0.018217074828466413,0.024289433104621883,3.0,1.0,0.07286829931386565,0.0009143043465511759,9.14304346551176
Mg,24.305,173.0,1.31,7.646,,71.2,0.017905914980066287,0.023874553306755048,3.0,1.0,0.07162365992026515,0.0008883221968332785,8.883221968332785
Mo,95.95,209.0,2.16,7.092,0.746,87.0,0.001369366761548075,0.0018258223487307667,3.0,1.0,0.0054774670461923,8.461667464740003e-05,0.8461667464740003
N,14.007,155.0,3.04,14.534,,7.4,0.00736638801780283,0.012277313363004716,3.0,2.0,0.018415970044507075,0.0006342833554632719,6.342833554632719
Nb,92.90637,207.0,1.6,6.759,0.893,98.0,0.01775033161539136,0.023667108820521813,3.0,1.0,0.07100132646156544,0.0011088697490473452,11.088697490473452
Nb,92.90637,207.0,1.6,6.759,0.893,98.0,0.019700427379554374,0.0262672365060725,6.0,2.0,0.0788017095182175,0.0012200397819893101,12.200397819893102
Nb,92.90637,207.0,1.6,6.759,0.893,98.0,0.017735980232183673,0.023647973642911563,3.0,1.0,0.0709439209287347,0.0010067226530968787,10.067226530968787
Nd,144.24,229.0,1.14,5.525,,208.0,0.024987800855193986,0.03331706780692532,3.0,1.0,0.09995120342077594,0.0010135392702070648,10.135392702070648
Ni,58.693,163.0,1.91,7.64,1.156,49.0,0.0021323079656081004,0.002843077287477467,3.0,1.0,0.008529231862432402,0.00015513006185594535,1.5513006185594536
Ni,58.693,163.0,1.91,7.64,1.156,49.0,0.0021773748582563117,0.002903166477675082,6.0,2.0,0.008709499433025247,0.00015239868919458556,1.5239868919458555
