Symbol,Structure,Total Sites,Cation Sites,Counter Ion Sites,Diff Energy,Diff per Total Sites,Diff per Cation Sites,Diff per Counter Ion Sites,Composition
Ac,K1 Ac3,4,1.0,3.0,0.0408048912754272,0.0102012228188568,0.0408048912754272,0.013601630425142399,K1 Ac3
Tl,K12 Tl12,24,12.0,12.0,0.07550525064726502,0.003146052110302709,0.006292104220605418,0.006292104220605418,K12 Tl12
Nd,K1 Nd1,2,1.0,1.0,0.019174231290295298,0.009587115645147649,0.019174231290295298,0.019174231290295298,K1 Nd1
Cd,K1 Cd3,4,1.0,3.0,0.01366343982511315,0.0034158599562782877,0.01366343982511315,0.004554479941704384,K1 Cd3
Tb,K3 Tb1,4,3.0,1.0,0.0110368847151236,0.0027592211787809,0.0036789615717078665,0.0110368847151236,K3 Tb1
Zr,K3 Zr1,4,3.0,1.0,0.0092997300176438,0.00232493250441095,0.003099910005881267,0.0092997300176438,K3 Zr1
C,K6 C60,66,6.0,60.0,0.06554374592696749,0.0009930870594995075,0.010923957654494582,0.001092395765449458,K6 C60
Co,K2 Co2,4,2.0,2.0,0.012257157402024002,0.0030642893505060005,0.006128578701012001,0.006128578701012001,K2 Co2
O,K4 O8,12,4.0,8.0,0.05573630207937125,0.004644691839947604,0.013934075519842812,0.006967037759921406,K4 O8
Th,K3 Th1,4,3.0,1.0,0.00778061636769555,0.0019451540919238875,0.00259353878923185,0.00778061636769555,K3 Th1
O,K2 O1,3,2.0,1.0,0.02553230778420375,0.008510769261401251,0.012766153892101876,0.02553230778420375,K2 O1
Pt,K1 Pt1,2,1.0,1.0,0.00908719170384005,0.004543595851920025,0.00908719170384005,0.00908719170384005,K1 Pt1
Sm,K1 Sm1,2,1.0,1.0,0.0195082251622824,0.0097541125811412,0.0195082251622824,0.0195082251622824,K1 Sm1
Y,K3 Y1,4,3.0,1.0,0.010940350078778551,0.0027350875196946378,0.0036467833595928505,0.010940350078778551,K3 Y1
Li,K3 Li1,4,3.0,1.0,0.007702864906084251,0.0019257162265210628,0.002567621635361417,0.007702864906084251,K3 Li1
