-----------------------------------
 s i m p l e   D F T - D 3  v1.2.1
-----------------------------------

Zero (Chai-Head-Gordon) damping: pbe-D3(0)
--------------------
  s6         1.0000
  s8         0.7220
  s9         0.0000
 rs6         1.2170
 rs8         1.0000
 alp        14.0000
--------------------

Atomic radii (in Angstrom):
-------------------------------------------
   Z          R(cov)     R(vdw)      r4/r2
-------------------------------------------
  37 Rb       2.5200     2.3088     5.0561
  12 Mg       1.6667     1.7420     2.8909
-------------------------------------------

Atomic reference systems (in atomic units):
----------------------------------------------------------------------------
   Z        #      CN    C6(AA)   #      CN    C6(AA)   #      CN    C6(AA)
----------------------------------------------------------------------------
  37 Rb     1  0.0000 6138.7755   2  0.9738  476.2591
  12 Mg     1  0.0000  683.3758   2  0.9628  451.2708   3  1.9496  175.5616
----------------------------------------------------------------------------

Dispersion properties (in atomic units):
--------------------------------------------------------
     #    Z                CN       C6(AA)       C8(AA)
--------------------------------------------------------
    28   12 Mg  -0.65069899E-03     -0.40831978
    29   12 Mg  -0.65701910E-03     -0.41228571
    30   12 Mg  -0.65478813E-03     -0.41088575
    31   12 Mg  -0.65478719E-03     -0.41088517
    32   12 Mg  -0.65478786E-03     -0.41088558
    33   12 Mg  -0.65478825E-03     -0.41088583
    34   12 Mg  -0.65478651E-03     -0.41088474
    35   12 Mg  -0.65478893E-03     -0.41088625
    36   12 Mg  -0.66991169E-03     -0.42037593
    37   12 Mg  -0.66991102E-03     -0.42037551
    38   12 Mg  -0.66991480E-03     -0.42037789
    39   12 Mg  -0.66773727E-03     -0.41901146
    40   12 Mg  -0.66773743E-03     -0.41901157
    41   12 Mg  -0.66773798E-03     -0.41901191
    42   12 Mg  -0.67017294E-03     -0.42053987
    43   12 Mg  -0.67017286E-03     -0.42053982
    44   12 Mg  -0.67017521E-03     -0.42054130
    45   12 Mg  -0.67017284E-03     -0.42053981
    46   12 Mg  -0.67017221E-03     -0.42053941
    47   12 Mg  -0.67017299E-03     -0.42053990
    48   12 Mg  -0.69771092E-03     -0.43782021
    49   12 Mg  -0.69770950E-03     -0.43781932
    50   12 Mg  -0.69771260E-03     -0.43782127
    51   12 Mg  -0.65852992E-03     -0.41323376
    52   12 Mg  -0.65852915E-03     -0.41323328
    53   12 Mg  -0.65852693E-03     -0.41323189
    54   12 Mg  -0.65817178E-03     -0.41300903
    55   12 Mg  -0.65817030E-03     -0.41300810
    56   12 Mg  -0.65816951E-03     -0.41300760
    57   12 Mg  -0.66402553E-03     -0.41668231
    58   12 Mg  -0.66402487E-03     -0.41668190
    59   12 Mg  -0.66402557E-03     -0.41668234
    60   12 Mg  -0.66490585E-03     -0.41723472
    61   12 Mg  -0.66490667E-03     -0.41723523
    62   12 Mg  -0.66490526E-03     -0.41723435
    63   12 Mg  -0.66498954E-03     -0.41728724
    64   12 Mg  -0.66499023E-03     -0.41728767
    65   12 Mg  -0.66499024E-03     -0.41728768
    66   12 Mg  -0.66499105E-03     -0.41728818
    67   12 Mg  -0.66499016E-03     -0.41728763
    68   12 Mg  -0.66499177E-03     -0.41728864
    69   12 Mg  -0.66161365E-03     -0.41516884
    70   12 Mg  -0.66870338E-03     -0.41961770
    71   12 Mg  -0.66870396E-03     -0.41961807
    72   12 Mg  -0.66870552E-03     -0.41961905
    73   12 Mg  -0.66870331E-03     -0.41961766
    74   12 Mg  -0.66870336E-03     -0.41961769
    75   12 Mg  -0.66870557E-03     -0.41961908
    76   12 Mg  -0.66032161E-03     -0.41435806
    77   12 Mg  -0.66631327E-03     -0.41811789
    78   12 Mg  -0.66631401E-03     -0.41811835
    79   12 Mg  -0.65961754E-03     -0.41391626
    80   12 Mg  -0.65961770E-03     -0.41391636
    81   12 Mg  -0.65961771E-03     -0.41391636
    82   12 Mg  -0.65961818E-03     -0.41391666
    83   12 Mg  -0.66182138E-03     -0.41529919
    84   12 Mg  -0.66596158E-03     -0.41789720
    85   12 Mg  -0.66595996E-03     -0.41789619
    86   12 Mg  -0.65961521E-03     -0.41391480
    87   12 Mg  -0.65961586E-03     -0.41391520
    88   12 Mg  -0.66441163E-03     -0.41692459
    89   12 Mg  -0.66441262E-03     -0.41692521
    90   12 Mg  -0.66573299E-03     -0.41775376
    91   12 Mg  -0.66631317E-03     -0.41811783
    92   12 Mg  -0.66596157E-03     -0.41789720
    93   12 Mg  -0.66596224E-03     -0.41789761
    94   12 Mg  -0.66573448E-03     -0.41775469
    95   12 Mg  -0.66573448E-03     -0.41775469
    96   12 Mg  -0.66596079E-03     -0.41789671
    97   12 Mg  -0.66595997E-03     -0.41789619
    98   12 Mg  -0.66032368E-03     -0.41435936
    99   12 Mg  -0.66032087E-03     -0.41435760
   100   12 Mg  -0.66441173E-03     -0.41692466
   101   12 Mg  -0.66870327E-03     -0.41961764
   102   12 Mg  -0.66870385E-03     -0.41961800
   103   12 Mg  -0.66870541E-03     -0.41961898
   104   12 Mg  -0.66870320E-03     -0.41961760
   105   12 Mg  -0.66870325E-03     -0.41961762
   106   12 Mg  -0.66870546E-03     -0.41961901
   107   12 Mg  -0.66161389E-03     -0.41516899
   108   12 Mg  -0.66498818E-03     -0.41728638
   109   12 Mg  -0.66498887E-03     -0.41728682
   110   12 Mg  -0.66498888E-03     -0.41728682
   111   12 Mg  -0.66498968E-03     -0.41728733
   112   12 Mg  -0.66498880E-03     -0.41728677
   113   12 Mg  -0.66499041E-03     -0.41728778
   114   12 Mg  -0.66490458E-03     -0.41723392
   115   12 Mg  -0.66490540E-03     -0.41723444
   116   12 Mg  -0.66490399E-03     -0.41723355
   117   12 Mg  -0.66402292E-03     -0.41668067
   118   12 Mg  -0.66402226E-03     -0.41668026
   119   12 Mg  -0.66402296E-03     -0.41668070
   120   12 Mg  -0.65816926E-03     -0.41300744
   121   12 Mg  -0.65816777E-03     -0.41300651
   122   12 Mg  -0.65816699E-03     -0.41300602
   123   12 Mg  -0.65852735E-03     -0.41323215
   124   12 Mg  -0.65852657E-03     -0.41323166
   125   12 Mg  -0.65852436E-03     -0.41323027
   126   12 Mg  -0.69771222E-03     -0.43782103
   127   12 Mg  -0.69771081E-03     -0.43782014
   128   12 Mg  -0.69771390E-03     -0.43782208
   129   12 Mg  -0.67017288E-03     -0.42053983
   130   12 Mg  -0.67017280E-03     -0.42053978
   131   12 Mg  -0.67017516E-03     -0.42054126
   132   12 Mg  -0.67017279E-03     -0.42053978
   133   12 Mg  -0.67017216E-03     -0.42053938
   134   12 Mg  -0.67017293E-03     -0.42053987
   135   12 Mg  -0.66773595E-03     -0.41901064
   136   12 Mg  -0.66773612E-03     -0.41901074
   137   12 Mg  -0.66773667E-03     -0.41901108
   138   12 Mg  -0.66990915E-03     -0.42037434
   139   12 Mg  -0.66990847E-03     -0.42037391
   140   12 Mg  -0.66991226E-03     -0.42037629
   141   12 Mg  -0.65478933E-03     -0.41088651
   142   12 Mg  -0.65478840E-03     -0.41088593
   143   12 Mg  -0.65478906E-03     -0.41088634
   144   12 Mg  -0.65478946E-03     -0.41088659
   145   12 Mg  -0.65478772E-03     -0.41088550
   146   12 Mg  -0.65479013E-03     -0.41088701
   147   12 Mg  -0.65701924E-03     -0.41228580
   148   12 Mg  -0.65069959E-03     -0.40832016
   149   12 Mg  -0.65069815E-03     -0.40831925
   150   12 Mg  -0.65070015E-03     -0.40832051
--------------------------------------------------

Dispersion energy:      -1.0084647315800E-01 Eh

[Info] Dispersion energy written to .EDISP
