-----------------------------------
 s i m p l e   D F T - D 3  v1.2.1
-----------------------------------

Zero (Chai-Head-Gordon) damping: pbe-D3(0)
--------------------
  s6         1.0000
  s8         0.7220
  s9         0.0000
 rs6         1.2170
 rs8         1.0000
 alp        14.0000
--------------------

Atomic radii (in Angstrom):
-------------------------------------------
   Z          R(cov)     R(vdw)      r4/r2
-------------------------------------------
  59 Pr       2.1067     2.2851     4.7480
  12 Mg       1.6667     1.7420     2.8909
-------------------------------------------

Atomic reference systems (in atomic units):
----------------------------------------------------------------------------
   Z        #      CN    C6(AA)   #      CN    C6(AA)   #      CN    C6(AA)
----------------------------------------------------------------------------
  59 Pr     1  0.0000 4342.2386   2  2.9425  647.0250
  12 Mg     1  0.0000  683.3758   2  0.9628  451.2708   3  1.9496  175.5616
----------------------------------------------------------------------------

Dispersion properties (in atomic units):
--------------------------------------------------------
     #    Z                CN       C6(AA)       C8(AA)
--------------------------------------------------------
   119   12 Mg  -0.81848445E-02     -5.13606745
   120   12 Mg  -0.81237099E-02     -5.09770494
   121   12 Mg  -0.81237249E-02     -5.09771437
   122   12 Mg  -0.81237171E-02     -5.09770946
   123   12 Mg  -0.81223789E-02     -5.09686974
   124   12 Mg  -0.81223691E-02     -5.09686355
   125   12 Mg  -0.81223653E-02     -5.09686118
   126   12 Mg  -0.86218068E-02     -5.41026546
   127   12 Mg  -0.86217925E-02     -5.41025648
   128   12 Mg  -0.86217911E-02     -5.41025560
   129   12 Mg  -0.82235275E-02     -5.16034144
   130   12 Mg  -0.82235388E-02     -5.16034850
   131   12 Mg  -0.82235468E-02     -5.16035351
   132   12 Mg  -0.82235491E-02     -5.16035494
   133   12 Mg  -0.82235145E-02     -5.16033325
   134   12 Mg  -0.82235707E-02     -5.16036851
   135   12 Mg  -0.82481517E-02     -5.17579332
   136   12 Mg  -0.82481866E-02     -5.17581525
   137   12 Mg  -0.82481615E-02     -5.17579949
   138   12 Mg  -0.81984083E-02     -5.14457889
   139   12 Mg  -0.81984516E-02     -5.14460608
   140   12 Mg  -0.81984310E-02     -5.14459311
   141   12 Mg  -0.81122781E-02     -5.09053139
   142   12 Mg  -0.81122535E-02     -5.09051594
   143   12 Mg  -0.81122731E-02     -5.09052821
   144   12 Mg  -0.81122696E-02     -5.09052601
   145   12 Mg  -0.81122815E-02     -5.09053349
   146   12 Mg  -0.81122836E-02     -5.09053481
   147   12 Mg  -0.80989199E-02     -5.08214899
   148   12 Mg  -0.81729281E-02     -5.12858979
   149   12 Mg  -0.81728944E-02     -5.12856867
   150   12 Mg  -0.81729069E-02     -5.12857649
--------------------------------------------------

Dispersion energy:      -1.2410137443292E+00 Eh

[Info] Dispersion energy written to .EDISP
