Symbol_x,Structure,Total Sites_x,Cation Sites,Counter Ion Sites,Diff Energy,Diff per Total Sites,Diff per Cation Sites,Diff per Counter Ion Sites,Volume_x,mid_x,Composition,Symbol_y,AtomicMass,AtomicRadius,Electronegativity,IonizationEnergy,ElectronAffinity,Polarizability,Result_1,results_per_cation,CationSites,CounterIonSites,results_per_counter_ion,res_per_volm_per_site,Result,SpaceGroup,SpaceGroupNumber,Total Sites_y,Volume_y,mid_y,Reduced Formula,req,Anion Site,Structure_SG
O,K4 O2,6,4.0,2.0,0.0373281982044945,0.0062213663674157,0.0093320495511236,0.0186640991022472,132.22115093268252,776081,K4 O2,O,15.999,152.0,3.44,13.618,1.461,5.3,6.22136636741575,9.332049551123625,0.6666666666666666,0.3333333333333333,0.0186640991022472,0.0002823163914485,0.2823163914485915,P2_1,4,6,132.22115093268252,776081,K2O,22.03685848878042,0.5,K-O0.5
O,K2 O2,4,2.0,2.0,0.0239899533478034,0.0059974883369508,0.0119949766739017,0.0119949766739017,75.24282737626442,1097008,K2 O2,O,15.999,152.0,3.44,13.618,1.461,5.3,5.9974883369508625,11.994976673901723,0.5,0.5,0.0119949766739017,0.000318833757108,0.3188337571080051,Cmcm,63,4,75.24282737626442,1097008,K2O2,18.810706844066104,1.0,K-O1.0
O,K6 O6,12,6.0,6.0,0.0702402145497304,0.0058533512124775,0.011706702424955,0.011706702424955,215.34697519897512,998917,K6 O6,O,15.999,152.0,3.44,13.618,1.461,5.3,5.853351212477541,11.706702424955084,0.5,0.5,0.011706702424955,0.0003261722830554,0.3261722830554286,P-62m,189,12,215.34697519897512,998917,K2O2,17.94558126658126,1.0,K-O1.0
O,K4 O8,12,4.0,8.0,0.0557363020793712,0.0046446918399476,0.0139340755198428,0.0069670377599214,202.1131517135406,3346628,K4 O8,O,15.999,152.0,3.44,13.618,1.461,5.3,4.644691839947604,13.934075519842812,0.3333333333333333,0.6666666666666666,0.0069670377599214,0.0002757678142507,0.2757678142507398,P2_1/c,14,12,202.1131517135406,3346628,KO2,16.842762642795048,2.0,K-O2.0
O,K4 O8,12,4.0,8.0,0.0527336164040425,0.0043944680336702,0.0131834041010106,0.0065917020505053,208.4567549097148,1180711,K4 O8,O,15.999,152.0,3.44,13.618,1.461,5.3,4.394468033670209,13.183404101010629,0.3333333333333333,0.6666666666666666,0.0065917020505053,0.0002529714924655,0.2529714924655815,P2_1/c,14,12,208.4567549097148,1180711,KO2,17.371396242476234,2.0,K-O2.0
O,K4 O8,12,4.0,8.0,0.0469375822407044,0.0039114651867253,0.0117343955601761,0.005867197780088,206.03566933704096,1180742,K4 O8,O,15.999,152.0,3.44,13.618,1.461,5.3,3.9114651867253674,11.734395560176102,0.3333333333333333,0.6666666666666666,0.005867197780088,0.0002278128946882,0.2278128946882597,P2_1/c,14,12,206.03566933704096,1180742,KO2,17.16963911142008,2.0,K-O2.0
O,K4 O8,12,4.0,8.0,0.0466201383449115,0.0038850115287426,0.0116550345862278,0.0058275172931139,238.7619816724504,998916,K4 O8,O,15.999,152.0,3.44,13.618,1.461,5.3,3.885011528742629,11.655034586227888,0.3333333333333333,0.6666666666666666,0.0058275172931139,0.0001952577961464,0.1952577961464072,Pa-3,205,12,238.7619816724504,998916,KO2,19.896831806037532,2.0,K-O2.0
O,K2 O4,6,2.0,4.0,0.0225135932955996,0.0037522655492666,0.0112567966477998,0.0056283983238999,114.30920237976812,21325,K2 O4,O,15.999,152.0,3.44,13.618,1.461,5.3,3.752265549266616,11.256796647799847,0.3333333333333333,0.6666666666666666,0.0056283983238999,0.0001969534632986,0.1969534632986332,C2/c,15,6,114.30920237976812,21325,KO2,19.051533729961353,2.0,K-O2.0
O,K4 O8,12,4.0,8.0,0.0429035232798133,0.0035752936066511,0.0107258808199533,0.0053629404099766,226.4226668922776,734250,K4 O8,O,15.999,152.0,3.44,13.618,1.461,5.3,3.5752936066511163,10.725880819953348,0.3333333333333333,0.6666666666666666,0.0053629404099766,0.0001894842237691,0.1894842237691029,P2_1/c,14,12,226.4226668922776,734250,KO2,18.868555574356467,2.0,K-O2.0
O,K1 O2,3,1.0,2.0,0.0102628286510644,0.0034209428836881,0.0102628286510644,0.0051314143255322,49.2164577527646,1866,K1 O2,O,15.999,152.0,3.44,13.618,1.461,5.3,3.420942883688134,10.2628286510644,0.3333333333333333,0.6666666666666666,0.0051314143255322,0.0002085243253917,0.2085243253917012,I4/mmm,139,3,49.2164577527646,1866,KO2,16.405485917588198,2.0,K-O2.0
O,K1 O3,4,1.0,3.0,0.0107834703801133,0.0026958675950283,0.0107834703801133,0.0035944901267044,78.2140362486996,998913,K1 O3,O,15.999,152.0,3.44,13.618,1.461,5.3,2.69586759502835,10.7834703801134,0.25,0.75,0.0035944901267044,0.0001378712939174,0.1378712939174352,Imm2,44,4,78.2140362486996,998913,KO3,19.5535090621749,3.0,K-O3.0
O,K4 O12,16,4.0,12.0,0.0318129542430543,0.0019883096401908,0.0079532385607635,0.0026510795202545,282.28030909453514,1726,K4 O12,O,15.999,152.0,3.44,13.618,1.461,5.3,1.9883096401908995,7.953238560763598,0.25,0.75,0.0026510795202545,0.0001126998703703,0.1126998703703427,I4/mcm,140,16,282.28030909453514,1726,KO3,17.642519318408446,3.0,K-O3.0
O,K1 O2,3,1.0,2.0,0.0031515865594329,0.0010505288531443,0.0031515865594329,0.0015757932797164,81.42171475015405,1223320,K1 O2,O,15.999,152.0,3.44,13.618,1.461,5.3,1.05052885314433,3.15158655943299,0.3333333333333333,0.6666666666666666,0.0015757932797164,3.870695390171732e-05,0.0387069539017173,P4/mmm,123,3,81.42171475015405,1223320,KO2,27.140571583384684,2.0,K-O2.0
O,K2 O4,6,2.0,4.0,0.0034063269866247,0.0005677211644374,0.0017031634933123,0.0008515817466561,458.1487518245212,1071539,K2 O4,O,15.999,152.0,3.44,13.618,1.461,5.3,0.5677211644374616,1.7031634933123847,0.3333333333333333,0.6666666666666666,0.0008515817466561,7.4349803924151054e-06,0.0074349803924151,C2/c,15,6,458.1487518245212,1071539,KO2,76.35812530408687,2.0,K-O2.0
